accuracy,loss,val_accuracy,val_loss
0.9871072769165039,0.03576595336198807,0.9919354915618896,0.02720920741558075
1.0,0.018766086548566818,0.9919354915618896,0.027192100882530212
0.9914882779121399,0.024736251682043076,0.9848790168762207,0.03136150538921356
1.0,0.0168929286301136,0.9848790168762207,0.03030392713844776
0.9958693385124207,0.01683676242828369,0.9879032373428345,0.0237436480820179
0.96875,0.053788505494594574,0.9899193644523621,0.022806746885180473
0.9968706965446472,0.011571934446692467,0.9899193644523621,0.02286386676132679
1.0,0.0018889399943873286,0.9899193644523621,0.022769682109355927
0.9972462058067322,0.009407135657966137,0.9919354915618896,0.01920858770608902
0.96875,0.04218509793281555,0.992943525314331,0.017967337742447853
