accuracy,loss,val_accuracy,val_loss
0.9704594016075134,0.09510373324155807,0.9868951439857483,0.030955174937844276
1.0,0.011910231783986092,0.9868951439857483,0.030555719509720802
0.9862310886383057,0.03947829455137253,0.9879032373428345,0.03276718035340309
0.96875,0.13167326152324677,0.9879032373428345,0.0319615937769413
0.9901114106178284,0.03010370396077633,0.9919354915618896,0.024541612714529037
0.9375,0.1276758760213852,0.9919354915618896,0.02420247159898281
0.9917386174201965,0.026111353188753128,0.992943525314331,0.024729836732149124
0.96875,0.07452467828989029,0.9919354915618896,0.02496730163693428
0.9926148653030396,0.021944383159279823,0.9919354915618896,0.027118224650621414
1.0,0.02339121699333191,0.9909273982048035,0.026699598878622055
