accuracy,loss,val_accuracy,val_loss,learning_rate
0.22134210169315338,2.090092658996582,0.27129998803138733,1.8106610774993896,0.0010000000474974513
0.2711578905582428,1.900386929512024,0.3084999918937683,1.7512863874435425,0.0010000000474974513
0.31284210085868835,1.7565460205078125,0.4724999964237213,1.416515588760376,0.0010000000474974513
0.4315263032913208,1.5051026344299316,0.5217999815940857,1.3037474155426025,0.0010000000474974513
0.4928421080112457,1.3521337509155273,0.5964000225067139,1.1238572597503662,0.0010000000474974513
0.527684211730957,1.2609210014343262,0.6110000014305115,1.1094948053359985,0.0010000000474974513
0.558526337146759,1.183147668838501,0.6292999982833862,1.0603785514831543,0.0010000000474974513
0.5823947191238403,1.122787356376648,0.6208000183105469,1.1149203777313232,0.0010000000474974513
0.5994473695755005,1.0816649198532104,0.6129999756813049,1.0979108810424805,0.0010000000474974513
0.6089210510253906,1.0476396083831787,0.5475000143051147,1.5615452527999878,0.0010000000474974513
0.6389999985694885,0.9665271639823914,0.7071999907493591,0.8484408259391785,0.0005000000237487257
0.6508947610855103,0.9325225949287415,0.6912000179290771,0.9470782279968262,0.0005000000237487257
0.656631588935852,0.91993248462677,0.6654999852180481,1.0538575649261475,0.0005000000237487257
0.6667105555534363,0.9034668207168579,0.6988999843597412,0.8805354237556458,0.0005000000237487257
0.6788947582244873,0.8592344522476196,0.6998000144958496,0.9041491150856018,0.0002500000118743628
0.6806579232215881,0.8405506610870361,0.7249000072479248,0.8068732023239136,0.0002500000118743628
0.6864736676216125,0.8272599577903748,0.7077000141143799,0.8656936287879944,0.0002500000118743628
0.690342128276825,0.8147273063659668,0.7289000153541565,0.8077091574668884,0.0002500000118743628
0.6937631368637085,0.8106865882873535,0.6905999779701233,0.9309283494949341,0.0002500000118743628
0.6951842308044434,0.8108755946159363,0.7089999914169312,0.8946741223335266,0.0002500000118743628
0.6971315741539001,0.8012069463729858,0.7353000044822693,0.7872350811958313,0.0002500000118743628
0.6968421339988708,0.8002983927726746,0.7300000190734863,0.8010609149932861,0.0002500000118743628
0.6965000033378601,0.8038700819015503,0.7383999824523926,0.7765438556671143,0.0002500000118743628
0.7052105069160461,0.7803386449813843,0.7355999946594238,0.7861824035644531,0.0002500000118743628
0.703342080116272,0.7813374400138855,0.73580002784729,0.7830658555030823,0.0002500000118743628
0.7074736952781677,0.7647284865379333,0.7479000091552734,0.7654991745948792,0.0002500000118743628
0.7131578922271729,0.7657445073127747,0.7279999852180481,0.833800196647644,0.0002500000118743628
0.7110263109207153,0.7623627781867981,0.7529000043869019,0.7448286414146423,0.0002500000118743628
0.7108157873153687,0.7578206062316895,0.7562000155448914,0.7087271213531494,0.0002500000118743628
0.7136052846908569,0.7526399493217468,0.7249000072479248,0.8640392422676086,0.0002500000118743628
0.7157368659973145,0.7518503665924072,0.7468000054359436,0.7705927491188049,0.0002500000118743628
0.7217894792556763,0.7376212477684021,0.7476999759674072,0.7607038617134094,0.0002500000118743628
0.7239999771118164,0.7321382761001587,0.7386000156402588,0.8050121665000916,0.0001250000059371814
0.7243683934211731,0.7237386703491211,0.7450000047683716,0.779787540435791,0.0001250000059371814
0.7288947105407715,0.7085461020469666,0.7491999864578247,0.7545666694641113,0.0001250000059371814
