,precision,recall,f1-score,support
Negative,0.7908600215905002,0.87912,0.8326577003220307,12500.0
Positive,0.8639351643403872,0.76752,0.8128786274094472,12500.0
accuracy,0.82332,0.82332,0.82332,0.82332
macro avg,0.8273975929654437,0.82332,0.8227681638657389,25000.0
weighted avg,0.8273975929654436,0.82332,0.8227681638657389,25000.0
